dependent,independent
0,0
0,1
0,2
0,3
0,4
0,5
0,6
1,7
1,8
1,9
2,10
2,11
2,12
2,13
2,14
3,15
3,16
3,17
3,18
3,19
2,20
2,21
2,22
2,23
2,24
2,25
3,26
3,27
3,28
4,29
3,30
3,31
3,32
3,33
4,34
4,35
4,36
5,37
5,38
5,39
6,40
6,41
6,42
6,43
6,44
7,45
6,46
6,47
6,48
6,49
7,50
7,51
7,52
7,53
7,54
8,55
8,56
8,57
9,58
9,59
9,60
10,61
9,62
9,63
9,64
9,65
10,66
10,67
10,68
10,69
10,70
11,71
11,72
11,73
12,74
12,75
12,76
13,77
12,78
12,79
12,80
12,81
12,82
12,83
13,84
12,85
12,86
12,87
12,88
12,89
12,90
13,91
13,92
13,93
13,94
13,95
13,96
13,97
12,98
12,99
12,100
12,101
12,102
12,103
13,104
13,105
12,106
12,107
12,108
12,109
12,110
13,111
13,112
13,113
12,114
12,115
12,116
12,117
13,118
13,119
13,120
13,121
13,122
13,123
14,124
14,125
14,126
15,127
14,128
14,129
14,130
14,131
14,132
14,133
14,134
15,135
15,136
15,137
16,138
16,139
15,140
15,141
15,142
15,143
16,144
16,145
16,146
16,147
17,148
17,149
17,150
18,151
18,152
18,153
17,154
17,155
17,156
17,157
18,158
18,159
18,160
18,161
18,162
18,163
19,164
19,165
19,166
20,167
19,168
19,169
19,170
19,171
19,172
19,173
19,174
19,175
20,176
19,177
19,178
19,179
19,180
19,181
20,182
20,183
19,184
19,185
19,186
19,187
20,188
20,189
20,190
20,191
20,192
21,193
21,194
21,195
22,196
22,197
21,198
21,199
21,200
21,201
22,202
22,203
22,204
22,205
22,206
21,207
21,208
21,209
21,210
22,211
22,212
22,213
22,214
23,215
23,216
23,217
24,218
24,219
23,220
23,221
23,222
23,223
24,224
24,225
24,226
24,227
24,228
25,229
25,230
24,231
24,232
24,233
24,234
24,235
24,236
24,237
23,238
23,239
23,240
23,241
23,242
23,243
23,244
23,245
22,246
22,247
22,248
22,249
23,250
23,251
23,252
24,253
24,254
23,255
23,256
23,257
23,258
24,259
24,260
24,261
24,262
25,263
25,264
25,265
26,266
26,267
26,268
27,269
26,270
26,271
26,272
26,273
26,274
27,275
27,276
26,277
26,278
26,279
26,280
26,281
26,282
26,283
27,284
27,285
27,286
28,287
28,288
27,289
27,290
27,291
27,292
27,293
27,294
26,295
26,296
26,297
26,298
26,299
26,300
27,301
27,302
27,303
28,304
28,305
28,306
28,307
28,308
27,309
27,310
27,311
27,312
27,313
27,314
28,315
27,316
27,317
27,318
27,319
27,320
27,321
27,322
26,323
26,324
26,325
26,326
27,327
27,328
27,329
27,330
27,331
28,332
28,333
28,334
27,335
27,336
27,337
27,338
27,339
27,340
28,341
28,342
28,343
28,344
28,345
27,346
27,347
27,348
27,349
27,350
26,351
26,352
26,353
26,354
26,355
26,356
27,357
27,358
27,359
28,360
28,361
28,362
28,363
28,364
27,365
27,366
27,367
27,368
27,369
27,370
26,371
26,372
26,373
26,374
27,375
27,376
27,377
27,378
27,379
27,380
27,381
27,382
28,383
27,384
27,385
27,386
27,387
27,388
27,389
27,390
28,391
28,392
27,393
27,394
27,395
27,396
27,397
27,398
27,399
26,400
26,401
26,402
26,403
26,404
27,405
27,406
26,407
26,408
26,409
26,410
26,411
25,412
25,413
25,414
25,415
26,416
26,417
26,418
26,419
26,420
25,421
25,422
25,423
25,424
26,425
26,426
26,427
26,428
26,429
26,430
26,431
25,432
25,433
25,434
25,435
25,436
25,437
25,438
26,439
26,440
26,441
26,442
26,443
25,444
25,445
25,446
25,447
25,448
25,449
25,450
26,451
26,452
26,453
26,454
25,455
25,456
25,457
25,458
26,459
26,460
26,461
26,462
27,463
26,464
26,465
26,466
26,467
27,468
27,469
27,470
27,471
27,472
28,473
28,474
28,475
28,476
27,477
27,478
27,479
27,480
28,481
28,482
28,483
28,484
28,485
28,486
29,487
29,488
29,489
28,490
28,491
28,492
28,493
28,494
28,495
29,496
29,497
29,498
28,499
28,500
28,501
28,502
28,503
27,504
27,505
27,506
27,507
27,508
27,509
27,510
28,511
28,512
28,513
29,514
29,515
29,516
28,517
28,518
28,519
28,520
28,521
28,522
27,523
27,524
27,525
27,526
28,527
28,528
28,529
28,530
29,531
29,532
29,533
30,534
30,535
30,536
31,537
30,538
30,539
30,540
30,541
30,542
30,543
30,544
29,545
29,546
29,547
